Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Additional Information,To Apply,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
221045,NYC EMPLOYEES RETIREMENT SYS,Internal,1,CERTIFIED IT ADMINISTRATOR (WAN),CERT. IT ADMINISTRATOR WAN,13642,4,Information Technology & Telecommunications,,89383,134914,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,"Oversees the design, installation, configuration and support of the NYCERS data and voice communications environments. This includes at the NYCERS premises (the Brooklyn Tower, the Brooklyn Mezzanine and Long Island City), the external connectivity (between the NYCERS locations, to Internet Service Providers (ISP), to Telephone Companies and to other NYC agencies), and the Fiber Channel (FICON) and Fiber Channel Over IP (FCIP) connections to the disk storage array (SAN) and the virtual tape library (VTL).  Responsibilities include the planning, design, installation, configuration, testing, troubleshooting, maintenance, capacity monitoring, bandwidth monitoring, security and support of all applicable devices, systems and components. Manages vendor services, service engagements, adherence to Service Level Agreements and the completion of work by the commitment dates. Develops and documents standard operating procedures, standards and utilities for administration, management, monitoring, modification and troubleshooting of the voice and data network. Monitors capacity and bandwidth utilization to establish trends and project needs and growth forecasts. Serves as an in-house expert and authority regarding network communications and connectivity issues.","1. A baccalaureate degree from an accredited college, and two years of satisfactory full-time (not classroom based) experience in wide area network planning, design, configuration, installation, troubleshooting, integration, performance monitoring, maintenance, enhancement, and security management; or  2. A four-year high school diploma or its educational equivalent and six years of satisfactory full-time (not classroom based) information technology experience of which at least 2 years must have been as described in ""1"" above; or  3. A masters degree in computer science or a related field from an accredited college may substitute for one year of experience. However, all candidates must have at least one year of satisfactory (not classroom based) full-time information technology experience as described in ""1"" above.","- Minimum 5 years of experience planning, designing, configuring, installing, troubleshooting and maintaining data and voice networks. - Experience in performance and capacity monitoring required. - Avaya telephone systems strongly preferred.  - Familiari",,"Click the ""Apply Now"" button, please indicate Job ID number 221045 on your resume or cover letter.",,"335 Adams Street, Brooklyn NY",,New York City Residency is not required for this position,2015-10-30T00:00:00.000,,2015-10-30T00:00:00.000,2019-07-16T00:00:00.000
226044,DEPT OF INFO TECH & TELECOMM,Internal,1,Payroll Data Associate,CLERICAL ASSOCIATE,10251,3,Clerical & Administrative Support,,32888,50000,Annual,75 Park Place New York Ny,Human Resources,"DoITT provides for the sustained, efficient and effective delivery of IT services, infrastructure and telecommunications to enhance service delivery to New York City's residents, businesses, employees and visitors. As the City's technology leader, DoITT is responsible for maintaining the foundational IT infrastructure and systems that touch every aspect of City life from public safety to human services, from education to economic development crossing the full spectrum of governmental operations.   The successful candidate will serve as a Payroll Data Associate reporting to the Human Resources Division. Responsibilities will include:  â€¢Analyze, review and process payroll transaction on the 160/161 pending Pay Detail report; â€¢Verify the accuracy of the bi-weekly payroll by reviewing the 700 report; â€¢Prepare payroll summary for release of bi-weekly payroll to agency; â€¢Distribute Paychecks and other payroll related documents; â€¢Process one time payments and one time deductions; â€¢Process supplementary payroll; â€¢Approve payroll transactions; â€¢Process check refunds, EFT stops, and EFT reversals; â€¢Process direct deposit Eforms; â€¢Act as a Security Officer for various systems; â€¢Create and generate ad hoc reports; â€¢Respond to employees inquiries; â€¢Assist with special projects and initiatives as assigned.",Qualification Requirements  A four-year high school diploma or its educational equivalent approved by a State's department of education or a recognized accrediting organization and one year of satisfactory clerical experience.  Skills Requirement  Keyboard familiarity with the ability to type at a minimum of 100 key strokes (20 words) per minute.,"The successful candidate should possess the following:  â€¢Timekeeping or Payroll experience; â€¢Knowledge of PMS, RMDS, Eforms/Estubs and CHRMS; â€¢Proficiency in MS Excel and Word; â€¢Excellent analytical skills, work ethic and attention to detail; â€¢Excellent verbal and written communications skills; â€¢Excellent telephone skills and a professional demeanor; â€¢Excellent customer service skills; â€¢Ability to work independently and meet deadlines; â€¢Ability to work well in a fast-paced environment; â€¢Ability to maintain confidentiality.",Must Currently Hold a Permanent or Probationary Clerical Associate Title,"Must Currently Hold a Permanent or Probationary Clerical Associate Title  For City employees only, please go to Employee Self Service (ESS), click on Recruiting Activities > Careers, and search for Job ID#226044 -or- If you do not have access to a computer, please mail resume indicating Job ID # to: Department of Information Technology and Telecommunications (DoITT) Recruitment Office 255 Greenwich Street - 9th Floor - New York, NY 10007 SUBMISSION OF A RESUME IS NOT A GUARANTEE THAT YOU WILL RECEIVE AN INTERVIEW APPOINTMENTS ARE SUBJECT TO OVERSIGHT APPROVAL",Day,"Manhattan, NY",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-12-21T00:00:00.000,,2015-12-21T00:00:00.000,2019-07-16T00:00:00.000
226045,DEPT OF INFO TECH & TELECOMM,Internal,1,Senior Civil Service Advisor,ASSOCIATE STAFF ANALYST,12627,0,Clerical & Administrative Support Policy & Analysis,F,62260,92704,Annual,75 Park Place New York Ny,Human Resources,"DoITT provides for the sustained, efficient and effective delivery of IT services, infrastructure and telecommunications to enhance service delivery to New York City's residents, businesses, employees and visitors. As the City's technology leader, DoITT is responsible for maintaining the foundational IT infrastructure and systems that touch every aspect of City life from public safety to human services, from education to economic development crossing the full spectrum of governmental operations.   The successful candidate will serve as a Senior Civil Service Advisor reporting directly to the Director of Recruitment and Civil Service Administration within the Human Resources division.  Responsibilities will include:  â€¢	Serve as Subject Matter Expert (SME) regarding all aspects of Civil Service administration, advise management on civil service best practices;  â€¢	Strategically plan the administration of civil service lists and make recommendations;  â€¢	Serve as SME regarding compliance with NYS Civil Service Law and regulations;  â€¢	Stay abreast of the most recent guidelines and procedures outlined by DCAS and advise management;  â€¢	Serve as liaison to DCAS Certification, Classification, and Exam Administration units;  â€¢	Write job descriptions and justifications;  â€¢	Perform detailed analysis of civil service lists and agency certifications and use findings to create reports for management;  â€¢	Ensure candidate eligibility for appointment or promotion from civil service lists; manage the requests for civil service lists and all appointments and compliance with all civil service laws regarding appointments, disqualifications, and notifications; provide information to employees regarding civil service exam schedules; â€¢	Coordinate civil service hiring pools; enter dispositions for processing in PRISE;  â€¢	Perform other recruitment-related duties such as the creation of job postings and advertisements; â€¢	May act in the place of the Director in his or her absence. â€¢	Perform special projects and initiatives as assigned.","1. A masterâ€™s degree from an accredited college or university, accredited by regional, national, professional or specialized agencies recognized as accrediting bodies by the U.S. Secretary of Education and the Council for Higher Education Accreditation (CHEA) in economics, finance, accounting, business or public administration, human resources management, management science, operations research, organizational behavior, industrial psychology, statistics, personnel administration, labor relations, psychology, sociology, human resources development, political science, urban studies or a closely related field, and one year of satisfactory full-time professional experience in one or a combination of the following: working with the budget of a large public or private concern in budget administration, accounting, economic or financial administration, or fiscal or economic research; or in management or methods analysis, operations research, organizational research or program evaluation; or in personnel or public administration, recruitment, position classification, personnel relations, labor relations, employee   benefits, staff development, employment program planning/administration, labor market research, economic planning, social services program planning/evaluation, or fiscal management; or in a related area; or  2. A baccalaureate degree from an accredited college or university, accredited by regional, national, professional or specialized agencies recognized as accrediting bodies by the U.S. Secretary of Education and the Council for Higher Education Accreditation (CHEA) and three years of satisfactory full-time professional experience in the areas described in â€œ1"" above.","The successful candidate should possess the following:  â€¢	Exceptional knowledge of civil service law; â€¢	Strong experience with the compliance and administration of civil service lists; â€¢	Experience advising management on civil service best practices; â€¢	Strong writing skills; â€¢	Expert knowledge of PRISE, PMS and NYCAPS; â€¢	Experience in labor relations or knowledge of labor relations issues related to civil service administration; â€¢	Strong familiarity with Citywide on-boarding practices and procedures. â€¢	The ability to manage multiple tasks under tight deadlines.",Must Currently Hold a Permanent or Probationary Associate Staff Analyst Title.,"Must Currently Hold a Permanent or Probationary Associate Staff Analyst Title.  Please go to Employee Self Service (ESS), click on Recruiting Activities > Careers, and search for Job ID #226045 -or- If you do not have access to a computer, please mail resume indicating Job ID # to: Department of Information Technology and Telecommunications (DoITT) Recruitment Office - 255 Greenwich Street - 9th Floor - New York, NY 10007  SUBMISSION OF A RESUME IS NOT A GUARANTEE THAT YOU WILL RECEIVE AN INTERVIEW APPOINTMENTS ARE SUBJECT TO OVERSIGHT APPROVAL",Day,"New York, NY",,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-12-17T00:00:00.000,,2015-12-17T00:00:00.000,2019-07-16T00:00:00.000
228550,ADMIN FOR CHILDREN'S SVCS,External,6,Director of Senior Practice Consultation,ADMINISTRATIVE DIRECTOR OF SOC,10056,M2,Social Services,F,58675,95000,Annual,"150 William Street, New York N",Dpty Comm Fmly Prmncy Svcs-Fps,"ACS is establishing a new case consultation function (Director of Senior Practice Consultation) within the Family Permanency Services Division to provide consultation, technical assistance and support to foster care agency staff on individual cases.   The Director of Senior Practice Consultation will be seasoned managerial level staff working directly and collaboratively with ACSâ€™ contracted foster care provider agencies to deepen and strengthen agency practice resulting in improved well-being, safety and permanency outcomes for children in foster care, reduced lengths of stay and rates of re-entry into foster care.  Director of Senior Practice Consultation will be uniquely qualified to offer this assistance because of their child welfare/clinical expertise, knowledge of ACSâ€™ policies, procedures and resources, and experience working with families, foster care agencies, advocates, and systems.     The Director of Senior Practice Consultationsâ€™ specific duties will include:  â€¢	Provide case consultation to foster care agencies to answer questions, clarify policies and procedures, and troubleshoot case practice issues.   Confer with foster care agency staff and use permanency data and other sources of information to identify categories of cases and areas of practice where foster care agencies may benefit from consultation and support.    â€¢	Act as single point of contact for the foster care agency and other child welfare system stakeholders to improve communication, efficiency and resolution of issues.   â€¢	Provide consultation that improves practices in key areas including but not limited to: family engagement, family time, concurrent planning, work with kin, KinGap, open adoption practice, older youth services, trial and final discharge. â€¢	Link foster care agencies to all available resources within ACS â€¢	Help foster care agencies interface with other agencies including OMH and OPWDD â€¢	Support communication between the foster care agency and ACSâ€™ Division of Family Court Legal Services. â€¢	Coordinate as necessary with other divisions with ACS including the Division of Child Protection, Division of Preventive Services and the Division of Youth and Family Justice. â€¢	Maintain systems to track inquiries and trends  â€¢	Utilize data and other sources of information to identify categories of cases and areas of practice where foster care agency may benefit from consultation and support.  â€¢	Interface and support the work within Child Welfare Programs Family Team Conferencing Unit. â€¢	 May process critical incidents.  â€¢	Some of the positions may require after hours coverage on a rotating basis.  .","1. A baccalaureate degree from an accredited college or university and four years of progressively responsible experience, including one year at the administrative or managerial level in a large governmental agency, business firm, civic or community organization operating in the area of social services; or  2. Education and/or experience equivalent to ""1"" above. However, all candidates must have a baccalaureate degree from an accredited college and the one year of experience at the administrative or management level as described in ""1"" above.","Strong consideration will be given to candidates with a record of proven leadership and middle management accomplishment dealing with child welfare issues; knowledge of guidelines, policies and procedures related to child welfare, safety, permanency, well-being and out of home placement of children; expertise in culturally competent social work practice; knowledge of various systems impacting children and families in foster care, strong clinical and interpersonal skills; excellent written and verbal communication skills; excellent analytical and  organizational skills; proficiency in the use of CONNECTIONS, Microsoft Access, Excel and Word;  Expertise in strengths based, solution-focused, and family centered practice.",Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.   The City of New York and the Administration for Childrenâ€™s Services are Equal Opportunity Employers Committed to Diversity,"Click the ""Apply Now"" button.",,,,New York City Residency is not required for this position,2016-01-22T00:00:00.000,,2016-09-30T00:00:00.000,2019-07-16T00:00:00.000
228550,ADMIN FOR CHILDREN'S SVCS,Internal,6,Director of Senior Practice Consultation,ADMINISTRATIVE DIRECTOR OF SOC,10056,M2,Social Services,F,58675,95000,Annual,"150 William Street, New York N",Dpty Comm Fmly Prmncy Svcs-Fps,"ACS is establishing a new case consultation function (Director of Senior Practice Consultation) within the Family Permanency Services Division to provide consultation, technical assistance and support to foster care agency staff on individual cases.   The Director of Senior Practice Consultation will be seasoned managerial level staff working directly and collaboratively with ACSâ€™ contracted foster care provider agencies to deepen and strengthen agency practice resulting in improved well-being, safety and permanency outcomes for children in foster care, reduced lengths of stay and rates of re-entry into foster care.  Director of Senior Practice Consultation will be uniquely qualified to offer this assistance because of their child welfare/clinical expertise, knowledge of ACSâ€™ policies, procedures and resources, and experience working with families, foster care agencies, advocates, and systems.     The Director of Senior Practice Consultationsâ€™ specific duties will include:  â€¢	Provide case consultation to foster care agencies to answer questions, clarify policies and procedures, and troubleshoot case practice issues.   Confer with foster care agency staff and use permanency data and other sources of information to identify categories of cases and areas of practice where foster care agencies may benefit from consultation and support.    â€¢	Act as single point of contact for the foster care agency and other child welfare system stakeholders to improve communication, efficiency and resolution of issues.   â€¢	Provide consultation that improves practices in key areas including but not limited to: family engagement, family time, concurrent planning, work with kin, KinGap, open adoption practice, older youth services, trial and final discharge. â€¢	Link foster care agencies to all available resources within ACS â€¢	Help foster care agencies interface with other agencies including OMH and OPWDD â€¢	Support communication between the foster care agency and ACSâ€™ Division of Family Court Legal Services. â€¢	Coordinate as necessary with other divisions with ACS including the Division of Child Protection, Division of Preventive Services and the Division of Youth and Family Justice. â€¢	Maintain systems to track inquiries and trends  â€¢	Utilize data and other sources of information to identify categories of cases and areas of practice where foster care agency may benefit from consultation and support.  â€¢	Interface and support the work within Child Welfare Programs Family Team Conferencing Unit. â€¢	 May process critical incidents.  â€¢	Some of the positions may require after hours coverage on a rotating basis.  .","1. A baccalaureate degree from an accredited college or university and four years of progressively responsible experience, including one year at the administrative or managerial level in a large governmental agency, business firm, civic or community organization operating in the area of social services; or  2. Education and/or experience equivalent to ""1"" above. However, all candidates must have a baccalaureate degree from an accredited college and the one year of experience at the administrative or management level as described in ""1"" above.","Strong consideration will be given to candidates with a record of proven leadership and middle management accomplishment dealing with child welfare issues; knowledge of guidelines, policies and procedures related to child welfare, safety, permanency, well-being and out of home placement of children; expertise in culturally competent social work practice; knowledge of various systems impacting children and families in foster care, strong clinical and interpersonal skills; excellent written and verbal communication skills; excellent analytical and  organizational skills; proficiency in the use of CONNECTIONS, Microsoft Access, Excel and Word;  Expertise in strengths based, solution-focused, and family centered practice.",Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.   The City of New York and the Administration for Childrenâ€™s Services are Equal Opportunity Employers Committed to Diversity,"Click the ""Apply Now"" button.",,,,New York City Residency is not required for this position,2016-01-22T00:00:00.000,,2016-09-30T00:00:00.000,2019-07-16T00:00:00.000
229124,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"HIV Program Associate, Bureau of STD Prevention and Control",SUPERVISING PUBLIC HEALTH ADVI,51193,0,Health,F,48900,69042,Annual,42-09 28th Street,STI Administration,"The Bureau of Sexually Transmitted Disease Control (BSTDC) has the mission of improving the sexual health of all New Yorkers. To achieve this, the Bureau provides direct clinical services to people seeking sexual health care, and services to sex partners; monitors disease trends; provides education and training to providers and community groups, conducts research and develop policies to improve sexual health and wellness. The BSTDC operates 8 STD clinics throughout New York City (NYC)  Primary responsibilities include:  --	Manage patient referrals to Field Services Unit;  --	Monitor follow-up activities to assure complete, accurate, timely entries and assisting in the case review of patients enrolled in one of the HIV programs within the STD clinic;  --	Maintain liaison with health care providers and others including public and private agencies to expedite the efficient follow up and treatment of patients enrolled in program;  --	Assist in the supervision of the delegation of work and establishment of deadlines;  --	Perform other duties as assigned.","1. A baccalaureate degree from an accredited college or university, and two years of full-time satisfactory experience in a public health program, performing duties involving case finding, case management, interviewing, investigating and other related public health work, one year of which must have been in a supervisory capacity; or    2. An associate degree from an accredited college or university, including or supplemented by twelve semester credits in health education, or in health, social or biological sciences; and four years of experience as described in ""1"" above, one year of which must have been in a supervisory capacity; or    3. A four-year high school diploma or its educational equivalent  approved by a State's Department of Education or a recognized accrediting organization, and six years of experience as described in ""1"" above, one year of which must have been in a supervisory capacity; or    4. A satisfactory combination of education and/or experience equivalent to ""1"", ""2"" or ""3"" above. Undergraduate college credit may be substituted for experience on the basis of 30 semester credits from an accredited college for one year of full-time experience. Twelve credits in the health, social or biological sciences may be substituted for an additional six  months of experience. However, all candidates must have a four-year high school diploma or its educational equivalent approved by a State's Department of Education or a recognized accrediting organization, and a minimum of two years of experience, one year of which must have been in a supervisory capacity, as described in ""1"" above.","Spanish speaking applicants encouraged to apply; supervisory experience required - Experience working with HIV patients, racial/ethnic minorities, LGBT populations.",,"Apply online with a cover letter to https://a127-jobs.nyc.gov/.  In the Job ID search bar, enter: job ID number # 229124.   We appreciate the interest and thank all applicants who apply, but only those candidates under consideration will be contacted.",,42-09 28th Street,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2016-01-21T00:00:00.000,,2016-02-03T00:00:00.000,2019-07-16T00:00:00.000
229124,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"HIV Program Associate, Bureau of STD Prevention and Control",SUPERVISING PUBLIC HEALTH ADVI,51193,0,Health,F,48900,69042,Annual,42-09 28th Street,STI Administration,"The Bureau of Sexually Transmitted Disease Control (BSTDC) has the mission of improving the sexual health of all New Yorkers. To achieve this, the Bureau provides direct clinical services to people seeking sexual health care, and services to sex partners; monitors disease trends; provides education and training to providers and community groups, conducts research and develop policies to improve sexual health and wellness. The BSTDC operates 8 STD clinics throughout New York City (NYC)  Primary responsibilities include:  --	Manage patient referrals to Field Services Unit;  --	Monitor follow-up activities to assure complete, accurate, timely entries and assisting in the case review of patients enrolled in one of the HIV programs within the STD clinic;  --	Maintain liaison with health care providers and others including public and private agencies to expedite the efficient follow up and treatment of patients enrolled in program;  --	Assist in the supervision of the delegation of work and establishment of deadlines;  --	Perform other duties as assigned.","1. A baccalaureate degree from an accredited college or university, and two years of full-time satisfactory experience in a public health program, performing duties involving case finding, case management, interviewing, investigating and other related public health work, one year of which must have been in a supervisory capacity; or    2. An associate degree from an accredited college or university, including or supplemented by twelve semester credits in health education, or in health, social or biological sciences; and four years of experience as described in ""1"" above, one year of which must have been in a supervisory capacity; or    3. A four-year high school diploma or its educational equivalent  approved by a State's Department of Education or a recognized accrediting organization, and six years of experience as described in ""1"" above, one year of which must have been in a supervisory capacity; or    4. A satisfactory combination of education and/or experience equivalent to ""1"", ""2"" or ""3"" above. Undergraduate college credit may be substituted for experience on the basis of 30 semester credits from an accredited college for one year of full-time experience. Twelve credits in the health, social or biological sciences may be substituted for an additional six  months of experience. However, all candidates must have a four-year high school diploma or its educational equivalent approved by a State's Department of Education or a recognized accrediting organization, and a minimum of two years of experience, one year of which must have been in a supervisory capacity, as described in ""1"" above.","Spanish speaking applicants encouraged to apply; supervisory experience required - Experience working with HIV patients, racial/ethnic minorities, LGBT populations.",,"Apply online with a cover letter to https://a127-jobs.nyc.gov/.  In the Job ID search bar, enter: job ID number # 229124.   We appreciate the interest and thank all applicants who apply, but only those candidates under consideration will be contacted.",,42-09 28th Street,,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2016-01-21T00:00:00.000,,2016-02-03T00:00:00.000,2019-07-16T00:00:00.000
229837,DEPT OF INFO TECH & TELECOMM,Internal,1,Senior Quality Oversight Analyst,COMPUTER SYSTEMS MANAGER,10050,M2,Information Technology & Telecommunications,F,58675,125000,Annual,75 Park Place New York Ny,General Counsel,"DoITT provides for the sustained, efficient and effective delivery of IT services, infrastructure and telecommunications to enhance service delivery to New York City's residents, businesses, employees and visitors. As the City's technology leader, DoITT is responsible for maintaining the foundational IT infrastructure and systems that touch every aspect of City life from public safety to human services, from education to economic development crossing the full spectrum of governmental operations.   The successful candidate will serve as the Senior Quality Oversight Analyst, reporting to the Director of Quality Oversight and Audit. Responsibilities will include: Planning, organizing, conducting, documenting and following up on assessments of DoITT processes, to improve control, security, accountability and efficiency, with an emphasis on processes that relate to the agencyâ€™s information technology and telecommunications processes, such as computer applications, programming, systems, networks, and operations; and information technology and telecommunications budgeting, procurement, and staffing; working with DoITTâ€™s senior information technology and telecommunications management to identify opportunities for process improvements and development of best practices; working independently or on teams with other unit members, and with other staff in the agency; In the temporary absence of the Director, may assume the duties of that position. The positionâ€™s responsibilities include commitment to and compliance with the Cityâ€™s EEO policy.","1. A master's degree in computer science from an accredited college and three years of progressively more responsible, full-time, satisfactory experience using information technology in computer applications programming, systems programming, computer systems development, data telecommunications, database administration, planning of data/information processing, user services, or area networks at least 18 months of this experience must have been in an administrative, managerial or executive capacity in the areas of computer applications programming, systems programming, computer systems development, data telecommunications, data base administration, or planning of data processing or in the supervision of staff performing these duties; or  2. A baccalaureate degree from an accredited college and four years of experience as described in ""1"" above; or  3. A four-year high school diploma or its educational equivalent approved by a State's department of education or recognized accrediting organization and six years of experience as described in ""1"" above; or  4. A satisfactory combination of education and experience equivalent to ""1"", ""2"" or ""3"" above. However, all candidates must have at least a four-year high school diploma or its educational equivalent approved by a State's department of education or recognized accrediting organization and must possess at least three years of experience as described in ""1"" above, including the 18 months of administrative, managerial, executive or supervisory experience as described in  ""1"" above.  Qualification Requirements (continued)  NOTE: The following types of experience are not acceptable: superficial use of preprogrammed software without complex programming, design, implementation or management of the product; use of word processing packages; use of a hand held calculator; primarily the entering or updating of data in a system; the operation of data processing hardware or consoles.","The successful candidate possess the following:  â€¢	Knowledge of DoITTâ€™s IT Services and Application Development processes. â€¢	Demonstrated ability to be tactful and build effective long term working relationships with team members, managers, agency colleagues and executive management â€¢	Strong written and verbal communication skills â€¢	Experience assessing IT risk from a business perspective",,"For DoITT Employees Only  Please go to Employee Self Service (ESS), click on Recruiting Activities > Careers, and search for Job ID #229837 -or- If you do not have access to a computer, please mail resume indicating Job ID # to: Department of Information Technology and Telecommunications (DoITT) Recruitment Office - 255 Greenwich Street - 9th Floor - New York, NY 10007  SUBMISSION OF A RESUME IS NOT A GUARANTEE THAT YOU WILL RECEIVE AN INTERVIEW APPOINTMENTS ARE SUBJECT TO OVERSIGHT APPROVAL",Day,Manhattan,,New York City Residency is not required for this position,2016-02-17T00:00:00.000,,2016-02-17T00:00:00.000,2019-07-16T00:00:00.000
230490,LAW DEPARTMENT,External,1,Computer Associate,COMPUTER ASSOC (OPERATIONS),13621,2,Information Technology & Telecommunications,F,55556,82776,Annual,"100 Church St., N.Y.",Information Technology,"Providing technical support to the Affirmative Litigation Division in managing collection matters, referrals and reporting processes for cases. Managing troubleshooting and processing data files into the Law Manager system, interfacing with outside collections and law firms in the monthly process as well as handling new referrals and automation projects.  Design and development, testing and implementation, maintenance and enhancement of database management systems, operating systems, data communications and/or computer applications through product lifecycle using MS technology: CRM (2010/2013) and .NET VB / C# (2010/2013).  Develop store procedure/SSIS packages, test, install, migrate and applying software and database schema changes, reporting services in regard to SQL 2008/2012.  Supporting the testing and implementation of various internal /external NYC LAW data exchange interfaces via SQL, Administer and support MS Team Foundation Server 2013 (TFS) and Crystal Reports.","1. A certificate from an accredited technical school (approximately 675 hours) with a specialization in computer operations, and two years of satisfactory full-time experience, acquired within the last eight years, working on large-scale mainframe computer operations or mainframe data communication networks; or  2. A baccalaureate degree from an accredited college and three years of satisfactory full-time experience, acquired within the last eight years, as described in ""1"" above; or  3. A four-year high school diploma or its educational equivalent and four years of satisfactory full-time experience, acquired within the last eight years, as described in ""1"" above; or  4. A satisfactory combination of education and/or experience equivalent to ""1"", ""2"", or ""3"" above. However, all candidates must have at least two years of full-time experience, acquired within the last eight years, as described in ""1"" above.",Ability to code .NET and Java script from scratch 2+ years of experience with Dynamics CRM 2010/2013 Experience Developing Plugins 3 -5 years .NET and C# Coding 2+ years of SQL 2008/2012 experience with store procedure / SSIS/SSRS/ database design/maintenance,,"Click on the ""Apply Now"" button.",Monday - Friday 9:00 a.m. - 5:00 p.m.,,,New York City Residency is not required for this position.,2016-02-03T00:00:00.000,,2016-03-18T00:00:00.000,2019-07-16T00:00:00.000
230490,LAW DEPARTMENT,Internal,1,Computer Associate,COMPUTER ASSOC (OPERATIONS),13621,2,Information Technology & Telecommunications,F,55556,82776,Annual,"100 Church St., N.Y.",Information Technology,"Providing technical support to the Affirmative Litigation Division in managing collection matters, referrals and reporting processes for cases. Managing troubleshooting and processing data files into the Law Manager system, interfacing with outside collections and law firms in the monthly process as well as handling new referrals and automation projects.  Design and development, testing and implementation, maintenance and enhancement of database management systems, operating systems, data communications and/or computer applications through product lifecycle using MS technology: CRM (2010/2013) and .NET VB / C# (2010/2013).  Develop store procedure/SSIS packages, test, install, migrate and applying software and database schema changes, reporting services in regard to SQL 2008/2012.  Supporting the testing and implementation of various internal /external NYC LAW data exchange interfaces via SQL, Administer and support MS Team Foundation Server 2013 (TFS) and Crystal Reports.","1. A certificate from an accredited technical school (approximately 675 hours) with a specialization in computer operations, and two years of satisfactory full-time experience, acquired within the last eight years, working on large-scale mainframe computer operations or mainframe data communication networks; or  2. A baccalaureate degree from an accredited college and three years of satisfactory full-time experience, acquired within the last eight years, as described in ""1"" above; or  3. A four-year high school diploma or its educational equivalent and four years of satisfactory full-time experience, acquired within the last eight years, as described in ""1"" above; or  4. A satisfactory combination of education and/or experience equivalent to ""1"", ""2"", or ""3"" above. However, all candidates must have at least two years of full-time experience, acquired within the last eight years, as described in ""1"" above.",Ability to code .NET and Java script from scratch 2+ years of experience with Dynamics CRM 2010/2013 Experience Developing Plugins 3 -5 years .NET and C# Coding 2+ years of SQL 2008/2012 experience with store procedure / SSIS/SSRS/ database design/maintenance,,"Click on the ""Apply Now"" button.",Monday - Friday 9:00 a.m. - 5:00 p.m.,,,New York City Residency is not required for this position.,2016-02-03T00:00:00.000,,2016-03-18T00:00:00.000,2019-07-16T00:00:00.000
